"japan"	"france"	"germany"	"canada"	"united_kingdom"	"united_states_of_america"	"italy"
"26.6"	"35.3"	"34.6"	"30.5"	"35.5"	"32.1"	"31.8"
"26.7"	"35.2"	"34.9"	"30.4"	"35.6"	"32.1"	"31.9"
"26.9"	"35.2"	"35.2"	"30.3"	"35.6"	"32.2"	"32.1"
"27.2"	"35.1"	"35.4"	"30.2"	"35.7"	"32.1"	"32.3"
"27.4"	"35.1"	"35.6"	"30.1"	"35.8"	"32.1"	"32.6"
"27.7"	"35.1"	"35.8"	"30"	"35.9"	"32"	"32.8"
"28"	"35"	"36"	"29.9"	"35.9"	"32"	"33"
"28.3"	"35"	"36.1"	"29.8"	"36"	"31.9"	"33.1"
"28.6"	"35"	"36.2"	"29.7"	"36"	"31.9"	"33.3"
"28.9"	"35"	"36.3"	"29.6"	"36.1"	"31.9"	"33.5"
"29.2"	"35"	"36.3"	"29.6"	"36.1"	"31.8"	"33.6"
"29.5"	"35"	"36.3"	"29.6"	"36.1"	"31.8"	"33.8"
"29.8"	"35"	"36.3"	"29.6"	"36"	"31.8"	"33.9"
"30"	"34.9"	"36.3"	"29.6"	"36"	"31.8"	"34"
"30.3"	"34.9"	"36.2"	"29.6"	"36"	"31.8"	"34.1"
"30.5"	"34.9"	"36.2"	"29.7"	"35.9"	"31.9"	"34.2"
"30.8"	"34.9"	"36.2"	"29.9"	"35.9"	"32"	"34.3"
"31"	"34.9"	"36.2"	"30"	"35.9"	"32.1"	"34.3"
"31.3"	"35"	"36.2"	"30.2"	"35.9"	"32.2"	"34.4"
"31.5"	"35"	"36.2"	"30.4"	"35.9"	"32.3"	"34.5"
"31.7"	"35"	"36.3"	"30.6"	"36"	"32.4"	"34.7"
"31.9"	"35"	"36.4"	"30.8"	"36"	"32.5"	"34.8"
"32.1"	"35"	"36.5"	"31"	"36.1"	"32.7"	"35"
"32.3"	"35.1"	"36.6"	"31.2"	"36.1"	"32.9"	"35.1"
"32.5"	"35.1"	"36.8"	"31.5"	"36.3"	"33.1"	"35.1"
"32.7"	"35.2"	"37"	"31.7"	"36.4"	"33.2"	"35.3"
"32.9"	"35.3"	"37.2"	"31.9"	"36.5"	"33.4"	"35.4"
"33.2"	"35.5"	"37.4"	"32.1"	"36.7"	"33.7"	"35.6"
"33.5"	"35.6"	"37.6"	"32.4"	"36.8"	"33.9"	"35.7"
"33.8"	"35.7"	"37.8"	"32.6"	"37"	"34"	"35.9"
"34.2"	"35.8"	"38"	"32.9"	"37.1"	"34.1"	"36.2"
"34.5"	"35.9"	"38.1"	"33.1"	"37.2"	"34.3"	"36.3"
"34.9"	"36"	"38.3"	"33.3"	"37.3"	"34.4"	"36.6"
"35.2"	"36.1"	"38.4"	"33.6"	"37.4"	"34.6"	"36.8"
"35.6"	"36.2"	"38.6"	"33.8"	"37.5"	"34.7"	"37.1"
"36"	"36.3"	"38.8"	"34.1"	"37.6"	"34.8"	"37.4"
"36.3"	"36.5"	"38.9"	"34.3"	"37.7"	"34.9"	"37.7"
"36.7"	"36.6"	"39"	"34.5"	"37.8"	"35"	"37.9"
"37.1"	"36.8"	"39.1"	"34.7"	"37.8"	"35.1"	"38.2"
"37.5"	"36.9"	"39.2"	"34.9"	"37.9"	"35.2"	"38.5"
"37.9"	"37.1"	"39.3"	"35.1"	"38"	"35.3"	"38.8"
"38.3"	"37.2"	"39.4"	"35.3"	"38"	"35.4"	"39.1"
"38.7"	"37.4"	"39.5"	"35.5"	"38.1"	"35.4"	"39.6"
"39.1"	"37.6"	"39.6"	"35.7"	"38.2"	"35.5"	"39.8"
"39.5"	"37.8"	"39.8"	"35.9"	"38.3"	"35.6"	"40.1"
"39.8"	"38"	"40"	"36.1"	"38.4"	"35.7"	"40.4"
"40.2"	"38.2"	"40.2"	"36.3"	"38.5"	"35.8"	"40.6"
"40.6"	"38.4"	"40.4"	"36.6"	"38.6"	"35.9"	"40.9"
"41"	"38.6"	"40.5"	"36.8"	"38.7"	"36"	"41.1"
"41.3"	"38.7"	"40.8"	"37.1"	"38.8"	"36.1"	"41.4"
"41.7"	"38.9"	"41"	"37.3"	"38.9"	"36.2"	"41.6"
"42.1"	"39.1"	"41.2"	"37.6"	"39.1"	"36.3"	"41.9"
"42.4"	"39.2"	"41.5"	"37.8"	"39.2"	"36.5"	"42.1"
"42.8"	"39.4"	"41.7"	"38.1"	"39.3"	"36.6"	"42.3"
"43.2"	"39.5"	"42"	"38.3"	"39.4"	"36.8"	"42.5"
"43.5"	"39.7"	"42.3"	"38.6"	"39.5"	"36.9"	"42.7"
"43.9"	"39.8"	"42.5"	"38.8"	"39.6"	"37.1"	"42.9"
"44.2"	"40"	"42.8"	"39.1"	"39.7"	"37.3"	"43.1"
"44.5"	"40.2"	"43"	"39.3"	"39.7"	"37.4"	"43.2"
"44.9"	"40.3"	"43.2"	"39.5"	"39.8"	"37.6"	"43.3"
"45.2"	"40.5"	"43.4"	"39.7"	"39.9"	"37.8"	"43.5"
"45.5"	"40.6"	"43.6"	"39.9"	"40"	"38"	"43.7"
"45.7"	"40.8"	"43.8"	"40.1"	"40.1"	"38.2"	"43.9"
"46"	"41"	"44"	"40.3"	"40.2"	"38.3"	"44.1"
"46.4"	"41.2"	"44.1"	"40.5"	"40.3"	"38.5"	"44.4"
"46.6"	"41.3"	"44.3"	"40.7"	"40.4"	"38.6"	"44.6"
"46.9"	"41.5"	"44.3"	"40.9"	"40.5"	"38.8"	"44.9"
"47.2"	"41.7"	"44.4"	"41.1"	"40.7"	"39"	"45.1"
"47.5"	"41.9"	"44.5"	"41.2"	"40.8"	"39.2"	"45.4"
"47.8"	"42.1"	"44.6"	"41.4"	"41"	"39.3"	"45.6"
"48.2"	"42.3"	"44.7"	"41.5"	"41.1"	"39.5"	"45.9"
"48.4"	"42.5"	"44.8"	"41.8"	"41.3"	"39.7"	"46.1"
"48.6"	"42.7"	"44.9"	"42"	"41.5"	"40"	"46.4"
"48.8"	"42.9"	"45"	"42.2"	"41.7"	"40.2"	"46.7"
"49"	"43.1"	"45.2"	"42.4"	"41.9"	"40.4"	"47"
"49.2"	"43.2"	"45.3"	"42.6"	"42.1"	"40.6"	"47.2"
"49.4"	"43.4"	"45.5"	"42.9"	"42.3"	"40.9"	"47.5"
"49.6"	"43.6"	"45.6"	"43.1"	"42.5"	"41.1"	"47.8"
"49.8"	"43.8"	"45.8"	"43.2"	"42.7"	"41.3"	"48"
"50"	"44"	"45.9"	"43.4"	"42.9"	"41.5"	"48.3"
"50.1"	"44.2"	"46.1"	"43.6"	"43.1"	"41.7"	"48.5"
"50.3"	"44.4"	"46.3"	"43.8"	"43.3"	"41.9"	"48.7"
"50.4"	"44.5"	"46.4"	"44"	"43.5"	"42"	"49"
"50.6"	"44.7"	"46.6"	"44.1"	"43.6"	"42.2"	"49.2"
"50.7"	"44.9"	"46.7"	"44.3"	"43.8"	"42.4"	"49.4"
"50.8"	"45"	"46.9"	"44.4"	"44"	"42.5"	"49.6"
"50.9"	"45.2"	"47"	"44.6"	"44.1"	"42.7"	"49.8"
"51"	"45.3"	"47.2"	"44.7"	"44.3"	"42.8"	"50"
"51.1"	"45.4"	"47.3"	"44.9"	"44.4"	"43"	"50.2"
"51.2"	"45.6"	"47.5"	"45"	"44.6"	"43.1"	"50.4"
"51.3"	"45.7"	"47.6"	"45.1"	"44.7"	"43.2"	"50.6"
"51.4"	"45.8"	"47.8"	"45.2"	"44.8"	"43.3"	"50.7"
"51.5"	"45.9"	"47.9"	"45.3"	"45"	"43.5"	"50.9"
"51.6"	"46"	"48"	"45.4"	"45.1"	"43.6"	"51.1"
"51.7"	"46.1"	"48.2"	"45.5"	"45.2"	"43.7"	"51.2"
"51.7"	"46.2"	"48.3"	"45.6"	"45.3"	"43.8"	"51.3"
"51.8"	"46.2"	"48.4"	"45.7"	"45.4"	"43.9"	"51.5"
"51.9"	"46.3"	"48.4"	"45.8"	"45.5"	"44"	"51.6"
"52"	"46.4"	"48.5"	"45.9"	"45.6"	"44.1"	"51.7"
"52.1"	"46.5"	"48.6"	"45.9"	"45.7"	"44.2"	"51.9"
"52.2"	"46.6"	"48.6"	"46"	"45.8"	"44.3"	"52"
"52.3"	"46.7"	"48.6"	"46.1"	"45.9"	"44.4"	"52.1"
"52.4"	"46.8"	"48.7"	"46.2"	"46"	"44.5"	"52.2"
"52.5"	"46.8"	"48.7"	"46.2"	"46.2"	"44.6"	"52.3"
"52.6"	"46.9"	"48.7"	"46.3"	"46.2"	"44.7"	"52.3"
"52.7"	"47"	"48.7"	"46.4"	"46.4"	"44.8"	"52.4"
"52.8"	"47.1"	"48.7"	"46.5"	"46.5"	"44.9"	"52.5"
"52.9"	"47.2"	"48.7"	"46.5"	"46.5"	"45"	"52.5"
"52.9"	"47.3"	"48.7"	"46.6"	"46.6"	"45.1"	"52.6"
"53"	"47.3"	"48.7"	"46.7"	"46.7"	"45.2"	"52.6"
